[16/07/2017 17:34:40] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin3], Params: [] 
[16/07/2017 17:34:41] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin2], Params: [] 
[16/07/2017 17:34:45] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 17:35:02] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[16/07/2017 17:35:05] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 17:35:06] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_invul], Params: [] 
[16/07/2017 17:37:29] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_server_restart 0], Params: [] 
[16/07/2017 17:42:53] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 17:42:54] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[16/07/2017 17:42:56] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 17:42:57] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_invul], Params: [] 
[16/07/2017 17:45:45] --> GM: Nigga [268439890], Target: [Rb crap], Action: [admin_admin], Params: [] 
[16/07/2017 17:45:47] --> GM: Nigga [268439890], Target: [Rb crap], Action: [admin_create_item], Params: [] 
[16/07/2017 17:45:55] --> GM: Nigga [268439890], Target: [Rb crap], Action: [admin_create_item], Params: [ 3865 20] 
[16/07/2017 17:46:00] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_admin], Params: [] 
[16/07/2017 17:46:02] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_admin2], Params: [] 
[16/07/2017 17:46:03] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_admin3], Params: [] 
[16/07/2017 17:46:03] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_admin4], Params: [] 
[16/07/2017 17:46:04] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_admin5], Params: [] 
[16/07/2017 17:46:07] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_admin], Params: [] 
